phenotype	tissue	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000131849.11	ZNF132	8.28360528469048e-10	0.759
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000103966.10	EHD4	1.22400065367345e-09	0.738
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000172738.11	TMEM217	3.25319378244582e-09	0.793
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000256433.2	RP1-102E24.8	4.91299973109504e-09	0.83
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000154511.11	FAM69A	2.96500112545296e-08	0.874
Astle_et_al_2016_Platelet_count	Spleen	ENSG00000276023.4	DUSP14	4.14671416807843e-08	0.528
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000030110.12	BAK1	1.97003184655897e-144	0.943
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000170638.9	TRABD	1.1177568711487e-48	0.998
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000110395.6	CBL	1.82800493137237e-42	0.739
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000149485.18	FADS1	1.36099638057971e-22	0.761
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000007341.18	ST7L	4.58501585394422e-21	0.747
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000185245.7	GP1BA	4.63601313080349e-19	0.536
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000271590.1	RP11-181E10.3	7.55096629128719e-18	0.818
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000197375.12	SLC22A5	1.60426941427909e-17	0.688
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000139835.13	GRTP1	1.112003534766e-16	0.968
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000243955.5	GSTA1	2.5824969339134e-14	0.524
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000184887.13	BTBD6	5.99700337959351e-14	0.563
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000118137.9	APOA1	2.51740579218255e-13	0.977
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000172803.17	SNX32	2.62013729628041e-13	0.596
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000256433.2	RP1-102E24.8	1.2505141319972e-12	0.822
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000103966.10	EHD4	1.38077151356005e-11	0.73
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000099889.13	ARVCF	2.81392999611833e-11	0.774
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000089327.14	FXYD5	3.37700366389144e-10	0.917
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000108599.14	AKAP10	6.37344131626272e-10	0.626
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000131849.11	ZNF132	1.57974169234468e-09	0.729
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000276234.4	TADA2A	2.4398137265782e-09	0.562
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000166965.12	RCCD1	2.46982963933859e-09	0.755
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000154511.11	FAM69A	3.70228014174244e-09	0.922
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000276023.4	DUSP14	9.40741705749855e-09	0.533
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000267302.5	RP11-178C3.2	2.29299814429459e-08	0.621
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000083807.9	SLC27A5	3.31500343353509e-08	0.561
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000269473.1	CTD-2619J13.19	3.31500343353509e-08	0.645
Astle_et_al_2016_Platelet_count	Stomach	ENSG00000165025.14	SYK	5.43607894303934e-08	0.743
Astle_et_al_2016_Platelet_count	Testis	ENSG00000030110.12	BAK1	1.97003184655919e-144	0.917
Astle_et_al_2016_Platelet_count	Testis	ENSG00000178209.14	PLEC	1.81924491217812e-33	0.649
Astle_et_al_2016_Platelet_count	Testis	ENSG00000116688.16	MFN2	6.76416583193837e-25	0.551
Astle_et_al_2016_Platelet_count	Testis	ENSG00000007341.18	ST7L	4.58501585394422e-21	0.628
Astle_et_al_2016_Platelet_count	Testis	ENSG00000105968.18	H2AFV	2.17405707439356e-18	0.657
Astle_et_al_2016_Platelet_count	Testis	ENSG00000105726.16	ATP13A1	3.29075918865251e-17	0.657
Astle_et_al_2016_Platelet_count	Testis	ENSG00000186090.10	HTR3D	3.45600094351992e-13	0.754
Astle_et_al_2016_Platelet_count	Testis	ENSG00000065491.8	TBC1D22B	1.26800067447007e-11	0.725
Astle_et_al_2016_Platelet_count	Testis	ENSG00000270091.1	RP11-78O7.2	1.23625958024174e-10	0.534
Astle_et_al_2016_Platelet_count	Testis	ENSG00000166965.12	RCCD1	2.35800275109018e-10	0.702
Astle_et_al_2016_Platelet_count	Testis	ENSG00000061273.17	HDAC7	2.58924265686926e-10	0.967
Astle_et_al_2016_Platelet_count	Testis	ENSG00000099256.18	PRTFDC1	8.90200419064248e-10	0.756
Astle_et_al_2016_Platelet_count	Testis	ENSG00000131849.11	ZNF132	1.6148090934703e-09	0.603
Astle_et_al_2016_Platelet_count	Testis	ENSG00000256433.2	RP1-102E24.8	4.0917919053009e-09	0.877
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000030110.12	BAK1	1.97003184655919e-144	0.942
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000177963.14	RIC8A	1.38894191892186e-49	0.578
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000110395.6	CBL	3.13100387006403e-43	0.678
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000170638.9	TRABD	3.46267402632749e-33	0.999
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000135093.12	USP30	7.02570891107001e-25	0.794
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000149485.18	FADS1	1.69199539452795e-22	0.718
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000185245.7	GP1BA	1.18729579062894e-20	0.714
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000138002.14	IFT172	5.15700299108436e-20	0.648
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000005961.17	ITGA2B	6.27402722238895e-20	0.844
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000105968.18	H2AFV	1.28579993638282e-17	0.737
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000105726.16	ATP13A1	1.24429728420251e-16	0.845
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000116489.12	CAPZA1	1.51699668438919e-16	0.6
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000139835.13	GRTP1	2.54985784536527e-16	0.963
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000172803.17	SNX32	7.31860628593695e-13	0.525
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000197375.12	SLC22A5	8.03450883019251e-13	0.535
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000198898.13	CAPZA2	1.57574352776798e-12	0.573
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000065491.8	TBC1D22B	1.26800067447007e-11	0.735
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000276234.4	TADA2A	2.74501992417502e-10	0.531
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000270091.1	RP11-78O7.2	8.58329992239051e-10	0.692
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000131849.11	ZNF132	1.13393195064225e-09	0.739
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000256433.2	RP1-102E24.8	2.63672520088439e-09	0.919
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000039560.13	RAI14	4.40888090300812e-09	0.936
Astle_et_al_2016_Platelet_count	Thyroid	ENSG00000263627.1	PPP4R1-AS1	1.8400023383075e-08	0.774
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000030110.12	BAK1	1.97003184655941e-144	0.924
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000205436.7	EXOC3L4	4.80401944293662e-39	0.653
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000007341.18	ST7L	2.81500858221257e-21	0.591
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000139835.13	GRTP1	7.30169873091884e-19	0.915
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000166965.12	RCCD1	7.00100085708892e-10	0.7
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000131849.11	ZNF132	2.26934908495693e-09	0.596
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000256433.2	RP1-102E24.8	4.90223586827471e-09	0.743
Astle_et_al_2016_Platelet_count	Uterus	ENSG00000263627.1	PPP4R1-AS1	1.88800202525431e-08	0.736
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000030110.12	BAK1	1.9561051600214e-165	0.931
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000139835.13	GRTP1	1.11200353476602e-16	0.913
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000272236.1	XXbac-BPG170G13.32	6.88098957009044e-13	0.514
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000256433.2	RP1-102E24.8	1.79113152105308e-11	0.898
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000131849.11	ZNF132	1.40731128737307e-09	0.653
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000105383.14	CD33	5.9707080295743e-09	0.604
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000089327.14	FXYD5	1.18300113607512e-08	0.512
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000154511.11	FAM69A	1.41976622301371e-08	0.574
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000166965.12	RCCD1	1.9958352500042e-08	0.602
Astle_et_al_2016_Platelet_count	Vagina	ENSG00000129991.12	TNNI3	3.92599521282026e-08	0.734
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000030110.12	BAK1	6.27976939166114e-175	0.965
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000188076.2	SCGB1C1	5.29848088000118e-87	0.919
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000170638.9	TRABD	9.43718201209147e-36	1
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000178209.14	PLEC	3.43386500370393e-33	0.885
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000152518.7	ZFP36L2	4.15701489623486e-31	0.685
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000188603.18	CLN3	9.63812359701244e-23	0.997
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000146676.8	PURB	1.26100127768474e-22	0.891
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000149485.18	FADS1	9.40399515129675e-22	0.557
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000100266.18	PACSIN2	9.67464199152502e-22	0.525
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000007341.18	ST7L	3.50998706355164e-21	0.766
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000105726.16	ATP13A1	5.49839882432095e-21	0.791
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000105968.18	H2AFV	6.65365262638482e-20	0.807
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000197375.12	SLC22A5	2.65299792608629e-18	0.622
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000197272.2	IL27	2.53281092285385e-17	0.99
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000197208.5	SLC22A4	6.17604363378176e-16	0.729
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000083444.16	PLOD1	1.11327477397324e-14	0.784
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000078487.17	ZCWPW1	1.13199954943471e-14	0.557
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000146834.13	MEPCE	1.13199954943472e-14	0.559
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000138798.11	EGF	1.827998643117e-14	0.53
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000172803.17	SNX32	1.20500114949501e-13	0.635
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000139835.13	GRTP1	1.37333357576876e-13	0.955
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000184730.10	APOBR	1.85993710626446e-13	0.943
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000172977.12	KAT5	2.98999693063275e-13	0.528
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000090565.15	RAB11FIP3	1.280304714479e-11	0.75
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000131507.10	NDFIP1	2.49893980220037e-11	0.57
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000179912.20	R3HDM2	2.57500122887187e-11	0.991
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000185633.10	NDUFA4L2	2.57500122887189e-11	0.989
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000147852.15	VLDLR	5.63327262799189e-11	0.736
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000116604.17	MEF2D	6.4300065738773e-11	0.653
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000164142.15	FAM160A1	7.78647016061235e-11	0.586
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000142657.20	PGD	1.79700252445997e-10	0.589
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000176046.8	NUPR1	8.20899028957321e-10	0.509
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000276234.4	TADA2A	1.24632293381146e-09	0.588
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000131849.11	ZNF132	2.22518885871416e-09	0.8
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000276023.4	DUSP14	5.4519592669589e-09	0.567
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000166965.12	RCCD1	6.1150543827234e-09	0.828
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000149218.4	ENDOD1	1.81099946018015e-08	0.975
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000263627.1	PPP4R1-AS1	1.84000233830748e-08	0.847
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000154511.11	FAM69A	2.96500112545296e-08	0.952
Astle_et_al_2016_Platelet_count	Whole_Blood	ENSG00000160447.6	PKN3	6.73789945766824e-08	0.913
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000177989.13	ODF3B	2.12036603339954e-36	0.962
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000149923.13	PPP4C	3.24300434908814e-27	0.864
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000175054.14	ATR	2.37245744382521e-24	0.544
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000149922.10	TBX6	1.47631113723618e-22	1
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000149485.18	FADS1	1.22899932577365e-20	0.603
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000168496.3	FEN1	1.5360007187795e-20	0.604
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000167528.12	ZNF641	9.56834899724117e-18	0.987
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000213398.7	LCAT	5.20100624444942e-14	0.509
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000100225.17	FBXO7	4.56226474170931e-13	0.753
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000126464.13	PRR12	1.01448199958097e-12	0.785
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000169231.13	THBS3	2.35099784707256e-11	0.993
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000104738.16	MCM4	2.02899762200142e-10	0.753
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000135363.11	LMO2	2.51400170349774e-10	0.549
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000122971.8	ACADS	4.19317236612883e-10	0.581
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000133059.16	DSTYK	8.2146617861045e-10	0.626
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000169223.14	LMAN2	1.11500041482863e-09	0.507
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000278570.4	NR2E3	1.36699846810804e-09	0.644
Astle_et_al_2016_Red_blood_cell_count	Adipose_Subcutaneous	ENSG00000172613.7	RAD9A	6.58936261709284e-08	0.966
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000230499.1	AC108463.1	1.46600219271364e-46	0.836
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000025708.13	TYMP	2.19880324909693e-44	0.96
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000172965.14	MIR4435-2HG	3.10499065109131e-36	0.572
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000149922.10	TBX6	7.49519321832996e-27	1
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000177989.13	ODF3B	4.09819723723009e-21	0.961
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000149485.18	FADS1	6.34742053486529e-19	0.697
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000187166.1	H1FNT	1.69000580584173e-17	0.883
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000213398.7	LCAT	1.77869279084204e-14	0.634
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000124067.16	SLC12A4	9.71469461388889e-14	0.579
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000133059.16	DSTYK	7.65632071877021e-12	0.517
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000136938.8	ANP32B	1.50000232895011e-10	0.648
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000104738.16	MCM4	2.02899762200142e-10	0.737
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000126464.13	PRR12	2.2578421691844e-10	0.726
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000229274.1	XXbac-BPG13B8.10	3.41001807079345e-10	0.644
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000169223.14	LMAN2	1.11500041482864e-09	0.636
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000169231.13	THBS3	5.29569122086816e-09	0.991
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000100225.17	FBXO7	6.2882440656899e-09	0.729
Astle_et_al_2016_Red_blood_cell_count	Adipose_Visceral_Omentum	ENSG00000110696.9	C11orf58	1.92053468489378e-08	0.628
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000178951.8	ZBTB7A	7.27701547179149e-28	0.632
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000128274.15	A4GALT	2.14985152555854e-20	0.928
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000187166.1	H1FNT	1.69622221589179e-17	0.877
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000124067.16	SLC12A4	1.17100076869928e-14	0.656
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000102904.14	TSNAXIP1	3.18900116584988e-14	0.524
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000126464.13	PRR12	4.22024192244667e-12	0.725
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000172613.7	RAD9A	6.47575816302266e-11	0.942
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000185591.9	SP1	1.07099849915406e-10	0.557
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000104738.16	MCM4	2.0289976220014e-10	0.665
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000169231.13	THBS3	4.83334879097538e-09	0.991
Astle_et_al_2016_Red_blood_cell_count	Adrenal_Gland	ENSG00000183087.14	GAS6	7.64148725925491e-09	0.593
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000149922.10	TBX6	4.41972764399093e-26	1
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000122971.8	ACADS	1.54706977031966e-22	0.967
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000149485.18	FADS1	1.08882519452216e-19	0.697
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000187166.1	H1FNT	4.14864123000946e-19	0.984
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000104885.17	DOT1L	6.07301030388344e-16	0.921
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000112715.21	VEGFA	2.017120799735e-12	0.82
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000126464.13	PRR12	4.40696415513639e-12	0.756
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000174529.7	TMEM81	2.06999765730481e-11	0.529
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000173171.14	MTX1	2.35099784707258e-11	0.621
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000169231.13	THBS3	1.11751695627444e-10	0.971
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000104738.16	MCM4	2.02899762200142e-10	0.751
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000100994.11	PYGB	1.10779762448417e-09	0.749
Astle_et_al_2016_Red_blood_cell_count	Artery_Aorta	ENSG00000136938.8	ANP32B	2.87146406588444e-08	0.788
Astle_et_al_2016_Red_blood_cell_count	Artery_Coronary	ENSG00000122971.8	ACADS	1.71441946940664e-22	0.805
Astle_et_al_2016_Red_blood_cell_count	Artery_Coronary	ENSG00000149922.10	TBX6	5.94852345417273e-21	1
Astle_et_al_2016_Red_blood_cell_count	Artery_Coronary	ENSG00000158815.10	FGF17	5.25525764721613e-12	0.567
Astle_et_al_2016_Red_blood_cell_count	Artery_Coronary	ENSG00000169231.13	THBS3	2.35099784707254e-11	0.53
Astle_et_al_2016_Red_blood_cell_count	Artery_Coronary	ENSG00000172613.7	RAD9A	6.21544271058584e-11	0.943
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000149922.10	TBX6	4.20443418942927e-25	1
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000122971.8	ACADS	1.30736814012016e-22	0.961
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000130427.2	EPO	8.5439813538912e-22	0.694
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000187166.1	H1FNT	4.18234376114992e-16	0.984
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000213398.7	LCAT	1.86699756282028e-14	0.653
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000126464.13	PRR12	1.70414638532876e-12	0.758
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000169231.13	THBS3	2.35099784707254e-11	0.954
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000136938.8	ANP32B	1.78437630035499e-10	0.745
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000104738.16	MCM4	2.0289976220014e-10	0.75
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000112715.21	VEGFA	8.59800289649659e-10	0.522
Astle_et_al_2016_Red_blood_cell_count	Artery_Tibial	ENSG00000100994.11	PYGB	3.87715999045451e-08	0.677
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000025708.13	TYMP	1.92600598679897e-43	0.876
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000187783.11	TMEM72	7.54195885439911e-38	0.954
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000149922.10	TBX6	1.32725651256214e-25	1
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000122971.8	ACADS	1.29646596170381e-24	0.893
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000100225.17	FBXO7	1.15320876642784e-14	0.732
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000104870.12	FCGRT	8.83343237557024e-12	0.607
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000169231.13	THBS3	2.35099784707256e-11	0.992
Astle_et_al_2016_Red_blood_cell_count	Brain_Amygdala	ENSG00000172613.7	RAD9A	9.43942156083167e-11	0.854
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000177989.13	ODF3B	5.02001122266815e-34	0.536
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000149922.10	TBX6	9.7495580450431e-26	1
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000122971.8	ACADS	3.29899567053843e-22	0.946
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000149485.18	FADS1	1.83076818245319e-20	0.725
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000275228.1	RP11-370I10.10	1.48363636101031e-13	0.656
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000126464.13	PRR12	1.54949020355135e-12	0.744
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000100225.17	FBXO7	1.60784914140566e-11	0.725
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000104870.12	FCGRT	1.7828186281978e-10	0.504
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000172613.7	RAD9A	2.04999944599803e-10	0.956
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000134352.19	IL6ST	1.2770012924851e-08	0.96
Astle_et_al_2016_Red_blood_cell_count	Brain_Anterior_cingulate_cortex_BA24	ENSG00000163938.16	GNL3	2.61099893618381e-08	0.506
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000187783.11	TMEM72	6.98292844865285e-38	0.894
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000149922.10	TBX6	2.32587270554893e-26	1
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000122971.8	ACADS	3.28756651895718e-21	0.684
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000187166.1	H1FNT	1.6813737479818e-17	0.908
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000275228.1	RP11-370I10.10	1.18600140164213e-11	0.522
Astle_et_al_2016_Red_blood_cell_count	Brain_Caudate_basal_ganglia	ENSG00000126464.13	PRR12	1.19569950241382e-11	0.513
