phenotype	intron	pvalue	rcp
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_15_50492913_50494070	5.69461855147272e-08	0.52
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7324980_7325195	6.1959954144972e-08	0.643
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7330954_7332853	6.19599541449727e-08	0.874
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_43018799_43020143	8.75999352709945e-08	0.585
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7851796_7851951	9.63500145015494e-08	0.779
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7851549_7851648	9.63500145015497e-08	0.711
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_13502592_13502861	9.81401154289775e-08	0.568
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_7_22727634_22728693	1.03478252194545e-07	0.532
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7858824_7859382	1.14000103024114e-07	0.799
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_4_7043849_7054062	1.24701302441552e-07	0.979
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_9_113156172_113157727	1.59635273253421e-07	0.936
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_71755466_71773358	1.74074560338953e-07	0.995
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_22_17689142_17702243	1.83359859075253e-07	0.511
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7324012_7324112	2.03500034287881e-07	0.72
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7324980_7325209	2.03500034287883e-07	0.675
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7322010_7322735	2.03500034287883e-07	0.607
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_13492876_13496766	2.07444203603293e-07	0.81
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_7324012_7324108	2.38055641323168e-07	0.629
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_17_43018799_43021936	2.62447051851338e-07	0.637
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_13492826_13496766	2.71499853415207e-07	0.581
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_89247649_89251737	3.25073506287703e-07	0.889
Astle_et_al_2016_Sum_basophil_neutrophil_counts	intron_10_89247649_89251707	3.50733455283881e-07	0.868
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_5_132471054_132475667	1.81628497567479e-91	0.809
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_32040205_32040406	2.62949123087671e-50	0.902
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_32007470_32007671	6.61869304093348e-49	0.978
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_29944397_30261587	7.99390048653983e-48	0.589
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_39735073_39737938	2.79601096977731e-44	0.579
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_4_38664461_38680587	8.00601417699948e-43	0.589
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_4_38688186_38688585	7.33684864667275e-42	0.502
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_4_38680682_38687963	9.10076507010329e-40	0.605
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_4_38680682_38688585	1.45283190937767e-39	0.671
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_32756466_32757773	4.29831150035549e-33	0.669
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_96540677_96547402	1.18514856688066e-32	0.775
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_10_26437851_26438652	9.17703818344126e-25	0.594
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_10_26496391_26496908	1.8083493820538e-24	0.563
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_127982479_127983904	2.79199869153638e-21	0.723
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_127989291_127994883	2.91129228625597e-21	0.876
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_308889_309013	1.50365484790775e-20	0.99
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_26407952_26408692	1.78112306586539e-20	0.549
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_26407952_26409533	1.50554121506411e-19	0.521
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_319985_320565	2.26321966666609e-19	0.989
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_14_93953507_93954317	1.03077743985525e-18	1
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_14_93951244_93953352	1.80474432126503e-18	1
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_314356_314922	3.59799948715972e-18	0.735
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_45854507_45861900	2.31111388100845e-17	0.542
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_13_99200939_99231434	2.34995144459976e-17	0.768
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_45854507_45863058	1.04234380446898e-16	0.578
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_57100090_57100846	1.59200461619057e-16	0.791
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_57099819_57099996	1.59200461619058e-16	0.9
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_79961174_79967637	3.75860385303441e-16	0.828
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_79967692_79970700	4.85397719052313e-16	0.811
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_79961174_79970700	4.87458172340997e-16	0.802
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_45862027_45863058	1.03323447010837e-15	0.605
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_319990_320565	1.08899749182732e-15	0.99
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_57099903_57099996	1.54122934097527e-15	0.9
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_144103225_144103553	2.66545257605496e-15	0.998
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_45239061_45245341	2.97599550648621e-15	0.589
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_144103225_144104025	7.37491533628238e-15	0.964
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_79889354_79907629	1.4420869576876e-14	0.664
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_144103225_144103847	1.69563289169854e-14	0.998
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112349819_112361543	1.29299883728519e-13	0.652
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112345288_112347535	2.06500145505887e-13	0.511
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112347222_112351589	2.06500145505888e-13	0.754
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_16_30094897_30095252	2.10165629424059e-13	0.566
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112340983_112344962	4.19401285497963e-13	0.623
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112333224_112344962	6.32830458665658e-13	0.593
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_48955833_48956198	8.13930715192896e-13	0.777
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_3_112333224_112340902	1.78046157111874e-12	0.584
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_308438_309013	3.55535414926536e-12	0.934
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_233204717_233206706	5.83701346335624e-12	0.58
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_39734493_39734997	7.04499155703713e-12	0.517
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_241749399_241750151	7.13852256024943e-12	0.651
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_67165384_67166779	8.59662393868957e-12	0.632
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_91214425_91217277	1.27231817857997e-11	0.67
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_48954962_48955687	1.29699855223354e-11	0.51
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_48955599_48955687	1.45099876397859e-11	0.78
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_241750579_241751246	2.79273249640402e-11	0.684
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8422807_8423167	3.18599862187084e-11	0.8
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8423247_8423561	3.18599862187088e-11	0.52
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8422807_8424788	3.72341678397656e-11	0.826
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_61803188_61803363	4.08099842168686e-11	0.532
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_1082657_1082840	4.41187805075188e-11	0.675
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8432645_8434633	4.51400484379745e-11	0.635
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_48955599_48956198	6.40900589478058e-11	0.574
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_48954962_48956198	6.40900589478058e-11	0.508
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_1080379_1080464	7.47599806084709e-11	0.934
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_22_24226266_24226631	8.2429949957679e-11	0.743
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_22_24225411_24225546	8.24299499576797e-11	0.876
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8422807_8424015	8.715683431064e-11	0.881
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_93290686_93305388	8.87514656422621e-11	0.52
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8424701_8429827	1.06378177108821e-10	0.733
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8422807_8465925	2.51280032660931e-10	0.823
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_61803111_61803363	2.84227039673368e-10	0.732
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8422807_8423561	4.21284168812355e-10	0.816
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_16_27330198_27340186	1.32699870971427e-09	0.604
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_61790602_61792556	1.76662364271304e-09	0.513
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_10_102597293_102599433	2.48500341192739e-09	0.661
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_6_42269848_42300638	4.66000479994179e-09	0.563
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_96536830_96547402	6.26943244207011e-09	0.697
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_118930768_118932931	6.60000924691603e-09	0.773
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_127989291_128070160	7.55449558898161e-09	0.819
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_85579167_85579742	8.03359418644847e-09	0.698
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_85577649_85581576	9.50860811636729e-09	0.735
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_61816426_61837778	9.66248944071234e-09	0.513
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_904494_906317	9.79641822967674e-09	0.666
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_19_1104127_1105186	1.13911533866149e-08	0.523
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_308438_314922	1.21183902907311e-08	0.6
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_136432586_136432956	1.44638242461657e-08	0.836
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_136432583_136432956	1.44851719710799e-08	0.844
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_17_75828086_75828787	1.65888582491184e-08	0.691
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_241744877_241748827	2.48276488924219e-08	0.596
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_17_75828086_75830028	2.49372741427752e-08	0.636
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_17_75828983_75830028	3.15296108426542e-08	0.838
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_190991320_190995061	3.49899715281346e-08	0.723
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_118928929_118932931	4.99999078628024e-08	0.774
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_4793227_4823548	5.60799594743688e-08	0.551
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_85579874_85581576	5.70229247042271e-08	0.545
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_91511923_91513058	5.90500199143347e-08	0.759
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_904494_907847	6.79946155717077e-08	0.654
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_57389956_57390819	7.3150458095273e-08	0.704
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_1_8438300_8465925	8.35468184038877e-08	0.613
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_136433279_136434037	9.13159859769623e-08	0.628
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_10_24908685_24937184	9.16399817690411e-08	0.55
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_7_128937834_128942071	9.41699824459045e-08	0.866
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_11_61828597_61837778	1.06376078114469e-07	0.573
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_16_68275249_68284880	1.08935605076618e-07	0.669
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_241744877_241747614	1.22488769053231e-07	0.592
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_136433075_136433155	1.26234404379753e-07	0.581
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_7_128938049_128942071	1.54114836379056e-07	0.855
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_15_85747809_85748752	1.62733563901366e-07	0.802
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_8_27451078_27451485	2.17908955334215e-07	0.774
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_17_4808416_4809100	2.29595845630897e-07	0.573
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_123267282_123268169	2.40700225218343e-07	0.587
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_2_85579167_85581576	2.69109261612846e-07	0.711
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_12_6388825_6390660	2.82900074286926e-07	0.503
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_9_136446949_136447227	3.16699918459322e-07	0.51
Astle_et_al_2016_Sum_eosinophil_basophil_counts	intron_16_68285013_68287746	3.25966275923419e-07	0.563
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_6_31269525_31269966	7.86850186851139e-67	0.995
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_43649143_43652225	7.71923818112506e-65	0.988
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_314356_314922	3.27360211670083e-51	0.854
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_6_32040205_32040406	6.13374014436456e-49	0.749
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_6_32007470_32007671	1.07130081901347e-48	0.881
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_308889_309013	1.22221659990526e-47	0.62
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_319985_320565	1.31716775701289e-46	0.896
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_319990_320565	1.06867707090257e-45	0.882
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_308438_309013	1.23999569789709e-41	0.995
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_308438_309018	1.27038874789488e-39	0.546
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_308438_314922	1.2161316597662e-36	0.867
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_45239061_45245341	1.66499210694321e-34	0.732
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_36475673_36479433	1.16733274441501e-23	0.984
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_36475673_36477605	7.17651894532909e-23	0.954
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_28524611_28525948	3.01965204056136e-22	0.593
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_28524611_28532442	3.91198871445171e-22	0.513
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_28524574_28525948	3.91198871445176e-22	0.547
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_132295009_132302441	7.15270411467815e-21	0.552
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_28526008_28532442	7.89398206914734e-21	0.611
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_36477677_36479433	1.22666709612272e-20	0.975
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_28526008_28531735	2.68249701732735e-20	0.523
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_27372740_27373247	9.15102556135026e-18	0.836
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69292362_69294793	3.99035119351917e-15	0.59
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69294900_69300012	4.04952825771288e-15	0.555
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168851006_168851084	6.02328240230199e-15	0.942
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168851404_168856690	6.64999179558362e-15	0.935
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69311204_69313985	8.38337046120521e-15	0.705
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69311204_69320237	8.38482074872032e-15	0.714
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168843117_168851084	1.27815423464492e-14	0.9
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69306902_69307951	1.77100163342511e-14	0.661
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69303929_69307951	1.92000104113071e-14	0.611
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69303929_69306817	1.92000104113074e-14	0.653
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168843117_168850836	3.85760581909097e-14	0.894
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168862049_168863377	4.98942315540835e-14	0.9
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69314043_69320237	6.63899984676391e-14	0.718
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69300127_69303847	9.79864381889253e-14	0.691
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69285467_69294793	1.10833302630153e-13	0.778
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168862049_168863381	1.3381492819702e-13	0.894
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_9_136431985_136432316	1.38661989782885e-13	0.503
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_9_136431985_136432479	1.42258745736668e-13	0.526
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61803188_61803363	1.46300184696155e-13	0.513
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168862049_168864834	1.71762568446262e-13	0.909
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_69320345_69320465	1.9730484544528e-13	0.529
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_9_136433279_136434037	6.77140348796553e-13	0.524
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61816426_61837778	7.48671308693765e-13	0.791
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_48624430_48625891	8.3110120808123e-13	0.644
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61803111_61803363	9.41114439171083e-13	0.758
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61828597_61837778	1.21911346157868e-12	0.811
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_48625076_48625891	1.31703646254237e-12	0.703
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_132349957_132360080	1.44201874684281e-12	0.513
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_48633655_48634699	1.53799885689709e-12	0.606
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61793028_61795341	4.25270100485946e-12	0.536
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_108195992_108199956	5.17813225360787e-12	0.884
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61811075_61812471	5.7219944443666e-12	0.659
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_179699102_179705679	6.71675303491714e-12	0.799
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_179699770_179705679	9.25599815225631e-12	0.645
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_179699049_179705679	1.19521734379972e-11	0.773
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_48638293_48638888	1.31284894366968e-11	0.701
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61790602_61792556	1.803087964507e-11	0.631
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_1036246_1036416	3.31395728483732e-11	0.69
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_7_44967958_44969413	3.48424620451497e-11	0.626
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_7_44967958_44968920	3.77322049044394e-11	0.63
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_15_50492913_50493060	4.77455643396954e-11	0.861
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_4_728628_730630	5.35600742368854e-11	0.596
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_1032696_1036130	5.36647706978411e-11	0.766
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_8_11494591_11543135	6.57499194551885e-11	0.688
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_7_44964162_44964415	6.6299970433652e-11	0.538
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_7_44964519_44964945	6.62999704336522e-11	0.528
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23519174_23520202	6.86400021035154e-11	0.607
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_5_132313768_132327277	8.78721250839008e-11	0.517
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23506642_23533355	1.67159937239185e-10	0.729
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_11_61816696_61837778	1.74600103439095e-10	0.516
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_8_11539571_11543224	1.78299989749615e-10	0.564
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23545149_23548006	2.08441314947134e-10	0.535
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_7787978_7788324	2.21300075437763e-10	0.63
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_19_7787978_7788308	2.21300075437765e-10	0.595
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_4_730668_730970	2.47664327384298e-10	0.579
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23573574_23586287	3.00407489600882e-10	0.606
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_4_7043849_7048463	3.13385460793343e-10	0.967
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23526765_23529179	5.34917961277813e-10	0.643
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_18_23532284_23533355	5.8351316374137e-10	0.703
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_15_101178980_101235082	6.12414251320163e-10	0.546
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_15_50492913_50494070	1.2673492992723e-09	0.789
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_1469614_1470175	1.67025480782657e-09	0.672
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168846951_168851084	2.26072563879203e-09	0.683
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_6_159041055_159041798	2.45776043511948e-09	0.756
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_13_49549648_49550411	2.56799717323761e-09	0.688
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_27376216_27376313	3.23185139300244e-09	0.816
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_13_49549648_49549743	3.86529387103431e-09	0.845
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_27376183_27376313	3.94389609660012e-09	0.801
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_4_7043849_7047955	4.51464225326108e-09	0.901
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_13_49549648_49551326	4.51705471424762e-09	0.835
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_7_47369621_47380805	7.26200490896788e-09	0.835
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_7851796_7851951	1.00099995925581e-08	0.54
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_7858824_7859382	1.39999861762692e-08	0.551
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_108156885_108157462	1.50427072129182e-08	0.625
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_10_89247649_89250611	1.96599910635894e-08	0.746
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_74698481_74698576	2.34499801842256e-08	0.656
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_12_119668403_119671495	3.32934555015979e-08	0.975
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_12_119668403_119672301	3.40969223469712e-08	0.975
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_16_30472898_30474196	3.79999802952288e-08	0.876
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_16_30472898_30473965	3.79999802952291e-08	0.886
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_16_30474083_30474196	3.79999802952292e-08	0.895
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_43018799_43020143	5.55000687842454e-08	0.552
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_2_168843117_168846796	6.67610544245324e-08	0.644
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_7324980_7325195	7.01800847022632e-08	0.624
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_17_7330954_7332853	7.01800847022636e-08	0.849
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_1_27362753_27363442	8.13400840845444e-08	0.698
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	intron_3_183978651_183981727	8.52828550790395e-08	0.748
